sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,1,86.1554,87.2389,1.0835,1.0833334,(275.0;0.0),(-275.0;0.0),0.0402,0.0167,1,1,1
first,2,87.9388,88.7389,0.8002,0.8000001,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,0,1
first,3,89.4389,89.9555,0.5166,0.5166667,(-275.0;0.0),(275.0;0.0),0.6,0.05,0,0,1
first,4,90.6556,91.8390,1.1834,1.1833334,(-275.0;0.0),(275.0;0.0),0.0196,0.0167,0,0,1
first,5,92.5390,93.0891,0.5501,0.55,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,6,93.7891,94.3556,0.5664,0.5666667,(-275.0;0.0),(275.0;0.0),0.2009,0.0088,0,0,1
first,7,95.0557,95.5227,0.4670,0.4666667,(-275.0;0.0),(275.0;0.0),0.2009,0.0088,0,0,1
first,8,96.2225,96.6391,0.4166,0.4166667,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,9,97.3393,98.2060,0.8667,0.86666673,(275.0;0.0),(-275.0;0.0),0.017,0.0088,1,1,1
first,10,98.9061,99.5062,0.6001,0.6,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
first,11,100.2062,101.0731,0.8670,0.86666673,(275.0;0.0),(-275.0;0.0),0.2421,0.05,1,1,1
first,12,101.7730,103.4229,1.6499,1.6500001,(-275.0;0.0),(275.0;0.0),0.001,0.0,0,1,0
first,13,104.1231,104.7729,0.6497,0.65000004,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,14,105.4729,106.4065,0.9337,0.9333334,(-275.0;0.0),(275.0;0.0),0.0196,0.0167,0,1,0
first,15,107.1065,107.7566,0.6500,0.65000004,(-275.0;0.0),(275.0;0.0),0.2421,0.05,0,0,1
first,16,108.4563,109.0733,0.6170,0.6166667,(-275.0;0.0),(275.0;0.0),0.2088,0.0167,0,0,1
first,17,109.7734,110.4234,0.6500,0.65000004,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,1,0
first,18,111.1234,111.8401,0.7167,0.7166667,(-275.0;0.0),(275.0;0.0),0.1921,0.0,0,0,1
first,19,112.5402,113.0902,0.5501,0.55,(-275.0;0.0),(275.0;0.0),1.0,0.45,0,0,1
first,20,113.7902,114.4072,0.6170,0.6166667,(-275.0;0.0),(275.0;0.0),0.3921,0.2,0,0,1
first,21,115.1070,115.7238,0.6169,0.6166667,(275.0;0.0),(-275.0;0.0),0.2671,0.2,1,1,1
first,22,116.4237,117.2071,0.7834,0.78333336,(-275.0;0.0),(275.0;0.0),0.0759,0.0088,0,0,1
first,23,117.9072,119.5574,1.6502,1.6500001,(-275.0;0.0),(275.0;0.0),0.0529,0.05,0,0,1
first,24,120.2573,121.7742,1.5170,1.5166668,(-275.0;0.0),(275.0;0.0),0.0529,0.05,0,0,1
first,25,122.4740,124.6742,2.2001,2.2,(-275.0;0.0),(275.0;0.0),0.0249,0.0167,0,0,1
first,26,125.3742,126.6574,1.2832,1.2833334,(275.0;0.0),(-275.0;0.0),0.0098,0.0088,1,0,0
first,27,127.3577,128.3244,0.9667,0.9666667,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,0,1
first,28,129.0243,131.0744,2.0501,2.0500002,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,29,131.7746,132.7911,1.0166,1.0166668,(275.0;0.0),(-275.0;0.0),0.017,0.0088,1,1,1
first,30,133.4913,136.6752,3.1838,3.1833334,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,0,0
first,31,137.3746,137.9249,0.5503,0.55,(275.0;0.0),(-275.0;0.0),0.1921,0.0,1,1,1
first,32,138.6250,139.3084,0.6834,0.6833334,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,33,140.0082,140.6583,0.6501,0.65000004,(275.0;0.0),(-275.0;0.0),0.1171,0.05,1,1,1
first,34,141.3584,143.0418,1.6833,1.6833334,(-275.0;0.0),(275.0;0.0),0.0402,0.0167,0,0,1
first,35,143.7419,144.3421,0.6001,0.6,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,36,145.0420,145.5752,0.5332,0.53333336,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,37,146.2754,146.9754,0.7000,0.70000005,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,38,147.6755,148.6755,1.0000,1.0,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,0,0
first,39,149.3756,149.9256,0.5500,0.55,(-275.0;0.0),(275.0;0.0),0.6,0.05,0,0,1
first,40,150.6254,151.7423,1.1169,1.1166667,(275.0;0.0),(-275.0;0.0),0.0249,0.0167,1,1,1
first,41,152.4425,153.1425,0.7000,0.70000005,(275.0;0.0),(-275.0;0.0),0.0196,0.0167,1,1,1
first,42,153.8425,154.8759,1.0334,1.0333334,(275.0;0.0),(-275.0;0.0),0.4735,0.45,1,1,1
first,43,155.5760,156.6925,1.1165,1.1166667,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,44,157.3930,158.0596,0.6666,0.6666667,(275.0;0.0),(-275.0;0.0),0.0735,0.05,1,1,1
first,45,158.7592,159.5930,0.8337,0.8333334,(275.0;0.0),(-275.0;0.0),0.0082,0.0,1,1,1
first,46,160.2929,161.0764,0.7835,0.78333336,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,47,161.7762,163.1097,1.3335,1.3333334,(-275.0;0.0),(275.0;0.0),0.0582,0.05,0,0,1
first,48,163.8097,164.4931,0.6834,0.6833334,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,49,165.1931,165.7764,0.5833,0.5833334,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,50,166.4765,167.2933,0.8168,0.8166667,(275.0;0.0),(-275.0;0.0),0.0735,0.05,1,1,1
first,51,167.9933,168.6266,0.6333,0.6333334,(275.0;0.0),(-275.0;0.0),0.6421,0.45,1,1,1
first,52,169.3264,169.8767,0.5503,0.55,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,53,170.5767,171.2269,0.6501,0.65000004,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,54,171.9265,172.4936,0.5671,0.5666667,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,55,173.1936,173.8602,0.6666,0.6666667,(-275.0;0.0),(275.0;0.0),0.2088,0.0167,0,0,1
first,56,174.5603,175.7605,1.2002,1.2,(-275.0;0.0),(275.0;0.0),0.001,0.0,0,1,0
first,57,176.4604,177.0101,0.5497,0.55,(-275.0;0.0),(275.0;0.0),0.0759,0.0088,0,0,1
first,58,177.7108,178.3606,0.6498,0.65000004,(275.0;0.0),(-275.0;0.0),0.0402,0.0167,1,1,1
first,59,179.0606,179.6605,0.5999,0.6,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,60,180.3606,181.1607,0.8001,0.8000001,(275.0;0.0),(-275.0;0.0),0.5171,0.45,1,1,1
first,61,181.8607,182.5608,0.7001,0.70000005,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,62,183.2608,184.8776,1.6168,1.6166668,(275.0;0.0),(-275.0;0.0),0.0029,0.0,1,1,1
first,63,185.5776,186.3609,0.7833,0.78333336,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,64,187.0610,187.6445,0.5835,0.5833334,(-275.0;0.0),(275.0;0.0),0.0838,0.0167,0,0,1
