sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,1,100.0893,101.0559,0.9666,0.9666667,(-275.0;0.0),(275.0;0.0),0.0098,0.0088,0,0,1
first,2,101.7561,105.5729,3.8168,3.8166668,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,1,0
first,3,106.2730,107.4231,1.1501,1.1500001,(275.0;0.0),(-275.0;0.0),0.5171,0.45,1,1,1
first,4,108.1231,109.4065,1.2834,1.2833334,(275.0;0.0),(-275.0;0.0),0.4735,0.45,1,0,0
first,5,110.1066,111.2900,1.1833,1.1833334,(-275.0;0.0),(275.0;0.0),0.0249,0.0167,0,0,1
first,6,111.9900,113.3402,1.3502,1.35,(275.0;0.0),(-275.0;0.0),0.0098,0.0088,1,0,0
first,7,114.0401,116.4901,2.4500,2.45,(-275.0;0.0),(275.0;0.0),0.0196,0.0167,0,1,0
first,8,117.1903,118.3572,1.1668,1.1666667,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,9,119.0571,120.3738,1.3167,1.3166667,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,10,121.0739,122.3571,1.2833,1.2833334,(-275.0;0.0),(275.0;0.0),0.0177,0.0167,0,0,1
first,11,123.0574,124.2406,1.1833,1.1833334,(275.0;0.0),(-275.0;0.0),0.2671,0.2,1,1,1
first,12,124.9408,126.2241,1.2834,1.2833334,(275.0;0.0),(-275.0;0.0),0.0529,0.05,1,1,1
first,13,126.9242,128.0409,1.1167,1.1166667,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
first,14,128.7409,129.8411,1.1002,1.1,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,15,130.5410,131.6412,1.1001,1.1,(275.0;0.0),(-275.0;0.0),0.2671,0.2,1,1,1
first,16,132.3411,133.4246,1.0835,1.0833334,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,17,134.1246,135.3081,1.1835,1.1833334,(275.0;0.0),(-275.0;0.0),0.017,0.0088,1,1,1
first,18,136.0080,137.4249,1.4169,1.4166667,(-275.0;0.0),(275.0;0.0),0.0029,0.0,0,1,0
first,19,138.1248,139.4583,1.3335,1.3333334,(-275.0;0.0),(275.0;0.0),0.4582,0.45,0,0,1
first,20,140.1583,141.2250,1.0667,1.0666667,(275.0;0.0),(-275.0;0.0),0.6421,0.45,1,1,1
first,21,141.9248,142.9418,1.0170,1.0166668,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,22,143.6418,144.7252,1.0834,1.0833334,(-275.0;0.0),(275.0;0.0),0.2421,0.05,0,0,1
first,23,145.4251,146.5588,1.1337,1.1333334,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,24,147.2586,149.5088,2.2502,2.25,(275.0;0.0),(-275.0;0.0),0.0529,0.05,1,0,0
first,25,150.2089,151.3757,1.1668,1.1666667,(-275.0;0.0),(275.0;0.0),0.0529,0.05,0,1,0
first,26,152.0756,153.1923,1.1166,1.1166667,(275.0;0.0),(-275.0;0.0),0.2421,0.05,1,1,1
